2025-05-12 16:22:54,294 - Trials: 11,000,000 | Solutions: 5,407,976 | Probability: 0.4916
2025-05-12 16:23:06,715 - Trials: 12,000,000 | Solutions: 5,899,140 | Probability: 0.4916
2025-05-12 16:23:19,194 - Trials: 13,000,000 | Solutions: 6,390,279 | Probability: 0.4916
2025-05-12 16:23:31,541 - Trials: 14,000,000 | Solutions: 6,881,735 | Probability: 0.4916
2025-05-12 16:23:43,681 - Trials: 15,000,000 | Solutions: 7,373,386 | Probability: 0.4916
2025-05-12 16:23:55,985 - Trials: 16,000,000 | Solutions: 7,865,051 | Probability: 0.4916
2025-05-12 16:24:08,607 - Trials: 17,000,000 | Solutions: 8,356,122 | Probability: 0.4915
2025-05-12 16:24:20,641 - Trials: 18,000,000 | Solutions: 8,847,835 | Probability: 0.4915
2025-05-12 16:24:32,297 - Trials: 19,000,000 | Solutions: 9,338,702 | Probability: 0.4915
2025-05-12 16:24:45,350 - Trials: 20,000,000 | Solutions: 9,829,283 | Probability: 0.4915
2025-05-12 16:24:57,360 - Trials: 21,000,000 | Solutions: 10,321,176 | Probability: 0.4915
2025-05-12 16:25:09,006 - Trials: 22,000,000 | Solutions: 10,813,485 | Probability: 0.4915
2025-05-12 16:25:21,368 - Trials: 23,000,000 | Solutions: 11,304,594 | Probability: 0.4915
2025-05-12 16:25:32,889 - Trials: 24,000,000 | Solutions: 11,795,558 | Probability: 0.4915
2025-05-12 16:25:44,364 - Trials: 25,000,000 | Solutions: 12,287,301 | Probability: 0.4915
2025-05-12 16:26:15,009 - Trials: 26,000,000 | Solutions: 12,779,365 | Probability: 0.4915
2025-05-12 16:26:36,992 - Trials: 27,000,000 | Solutions: 13,270,451 | Probability: 0.4915
2025-05-12 16:26:59,860 - Trials: 28,000,000 | Solutions: 13,761,964 | Probability: 0.4915
2025-05-12 16:27:28,767 - Trials: 29,000,000 | Solutions: 14,253,973 | Probability: 0.4915
2025-05-12 16:27:45,935 - Trials: 30,000,000 | Solutions: 14,745,270 | Probability: 0.4915
2025-05-12 16:28:08,583 - Trials: 31,000,000 | Solutions: 15,237,118 | Probability: 0.4915
2025-05-12 16:28:37,173 - Trials: 32,000,000 | Solutions: 15,728,813 | Probability: 0.4915
2025-05-12 16:28:49,177 - Trials: 33,000,000 | Solutions: 16,220,527 | Probability: 0.4915
2025-05-12 16:29:01,031 - Trials: 34,000,000 | Solutions: 16,712,833 | Probability: 0.4916
2025-05-12 16:29:13,491 - Trials: 35,000,000 | Solutions: 17,203,973 | Probability: 0.4915
2025-05-12 16:29:25,311 - Trials: 36,000,000 | Solutions: 17,694,861 | Probability: 0.4915
2025-05-12 16:29:37,795 - Trials: 37,000,000 | Solutions: 18,185,978 | Probability: 0.4915
2025-05-12 16:29:49,748 - Trials: 38,000,000 | Solutions: 18,676,980 | Probability: 0.4915
2025-05-12 16:30:02,674 - Trials: 39,000,000 | Solutions: 19,168,471 | Probability: 0.4915
2025-05-12 16:30:14,455 - Trials: 40,000,000 | Solutions: 19,659,327 | Probability: 0.4915
2025-05-12 16:30:27,203 - Trials: 41,000,000 | Solutions: 20,151,071 | Probability: 0.4915
2025-05-12 16:30:39,458 - Trials: 42,000,000 | Solutions: 20,642,820 | Probability: 0.4915
2025-05-12 16:30:51,427 - Trials: 43,000,000 | Solutions: 21,133,935 | Probability: 0.4915
2025-05-12 16:31:03,362 - Trials: 44,000,000 | Solutions: 21,626,126 | Probability: 0.4915
2025-05-12 16:31:15,794 - Trials: 45,000,000 | Solutions: 22,117,460 | Probability: 0.4915
2025-05-12 16:31:27,736 - Trials: 46,000,000 | Solutions: 22,608,334 | Probability: 0.4915
